Temperature_C,Humidity_Percent,Fire_Intensity_Percent,Target_Output,Fuzzy_Prediction,Fuzzy_Error
28.493428306022466,86.8757358394217,67.29928690010247,61.58030133972877,75.0,-13.41969866027123
27.317811031448187,85.22781137897148,70.17618710519288,62.47893898180141,75.0,-12.521061018198587
28.984041416621707,82.40628054523357,68.33757514804364,61.74539165407139,73.7796446326334,-12.034252978562016
30.829018907906427,80.05733235418884,71.02665575016535,64.46732299643726,67.01748591426293,-2.5501629178256735
27.408902528278574,83.86087629979978,65.43306760268058,61.95349468374142,74.99999999999997,-13.046505316258553
27.503125761435253,82.7120733054935,74.60702717661306,62.382393634512006,74.49801350459563,-12.115619870083627
31.223941115382797,83.97999183675114,74.5018275482738,65.79576362321508,75.40077826825468,-9.605014645039603
29.694411271388777,82.96014437876532,71.9681587323894,62.13552476370122,75.00000000000001,-12.864475236298794
27.314515012021356,83.96096362672989,78.60888677564976,66.44409704088037,75.00000000000001,-8.55590295911965
29.432386622889975,78.96177440547761,80.45298979488106,64.07919803570448,50.0,14.07919803570448
27.514099840727297,84.27237358699652,70.99822272173908,63.169010014799355,75.00000000000006,-11.830989985200702
27.60299552765439,80.66327747261205,75.09780001617958,64.4013462997372,64.93162331319593,-0.5302770134587291
29.111735706736596,86.04416397487658,75.7863899454269,64.59993971701543,75.00000000000004,-10.400060282984612
24.89442835192261,77.4963759200457,75.81117297799591,59.81311258188084,62.49999999999996,-2.6868874181191202
25.364137659362953,84.51508437978836,83.58962277658756,65.9085625563545,49.999999999999986,15.90856255635451
27.782174841836834,79.64191511976409,80.19001892510978,65.28680302900894,50.0,15.286803029008937
26.973641648517187,76.83269574335812,80.59308046404806,61.48374885563597,50.0,11.483748855635973
29.720115311559358,77.07187775695328,74.31328169022946,59.2066146052074,62.49999999999996,-3.2933853947925584
27.36763741373937,77.29693903905617,85.53933298693809,64.33970787741671,50.0,14.339707877416714
26.450876674517016,79.26282672507058,78.70046384989291,63.80227364726213,62.50000000000008,1.302273647262055
32.29829919634479,79.28912783992224,84.54754509235012,67.9696661723162,76.88659488974082,-8.916928717424625
29.006671227117593,75.72780109692519,86.0576993363296,64.34727024571883,50.0,14.347270245718832
29.684192561439342,77.10214730158084,91.02084797003072,66.64094447295736,50.0,16.640944472957358
26.79022787312846,83.32640566591476,80.9621901873038,66.81018841875134,50.0,16.810188418751338
28.64120832595343,81.80472476440343,74.7275151058264,61.8627652355999,69.68723085095978,-7.824465615359877
30.041715639836248,77.65172798758549,88.1374917574418,66.1259326390346,50.0,16.125932639034602
27.60741292278647,76.1756343970748,95.18871706695977,67.49951664567885,50.0,17.499516645678852
30.749944497256774,76.13883466935924,93.51470353758117,68.1841469994801,75.34285638471759,-7.158709385237486
28.88602412362182,77.33470583667967,89.95709404571916,66.07701109228329,50.0,16.077011092283286
29.592257663520183,72.1395249847064,87.69837540601534,64.07744092644906,50.0,14.077440926449057
29.06015223661808,74.14790865498571,93.42644064789762,63.916813973935994,50.0,13.916813973935994
34.055604854944846,69.62485200589555,86.82301080832599,63.45527708900562,74.99999999999999,-11.544722910994366
30.411085945927113,75.53731572547132,93.12774441057702,67.73008410969423,75.12417866980064,-7.39409456010641
28.409225560718056,75.98879851439405,93.73484970392508,66.05644795089589,50.0,16.056447950895887
